0
6
0037_IFNG	0009_RANTES	0011_IL2RA	0010_IL2RB	0025_SOCS	0033_CD45
0	0	0	0	0	0	0
1	0	0	0	0	0	1
0	1	0	0	0	0	1
1	1	0	0	0	0	1
0	0	1	0	0	0	1
1	0	1	0	0	0	1
0	1	1	0	0	0	1
1	1	1	0	0	0	1
0	0	0	1	0	0	1
1	0	0	1	0	0	1
0	1	0	1	0	0	1
1	1	0	1	0	0	1
0	0	1	1	0	0	1
1	0	1	1	0	0	1
0	1	1	1	0	0	1
1	1	1	1	0	0	1
0	0	0	0	1	0	0
1	0	0	0	1	0	0
0	1	0	0	1	0	0
1	1	0	0	1	0	0
0	0	1	0	1	0	0
1	0	1	0	1	0	0
0	1	1	0	1	0	0
1	1	1	0	1	0	0
0	0	0	1	1	0	0
1	0	0	1	1	0	0
0	1	0	1	1	0	0
1	1	0	1	1	0	0
0	0	1	1	1	0	0
1	0	1	1	1	0	0
0	1	1	1	1	0	0
1	1	1	1	1	0	0
0	0	0	0	0	1	0
1	0	0	0	0	1	0
0	1	0	0	0	1	0
1	1	0	0	0	1	0
0	0	1	0	0	1	0
1	0	1	0	0	1	0
0	1	1	0	0	1	0
1	1	1	0	0	1	0
0	0	0	1	0	1	0
1	0	0	1	0	1	0
0	1	0	1	0	1	0
1	1	0	1	0	1	0
0	0	1	1	0	1	0
1	0	1	1	0	1	0
0	1	1	1	0	1	0
1	1	1	1	0	1	0
0	0	0	0	1	1	0
1	0	0	0	1	1	0
0	1	0	0	1	1	0
1	1	0	0	1	1	0
0	0	1	0	1	1	0
1	0	1	0	1	1	0
0	1	1	0	1	1	0
1	1	1	0	1	1	0
0	0	0	1	1	1	0
1	0	0	1	1	1	0
0	1	0	1	1	1	0
1	1	0	1	1	1	0
0	0	1	1	1	1	0
1	0	1	1	1	1	0
0	1	1	1	1	1	0
1	1	1	1	1	1	0
