0
7
0053_IRF1	0052_TBET	0000_Proliferation	0032_GATA3	0043_FOXP3	0042_RUNX3	0050_NFAT
0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0
1	1	0	0	0	0	0	0
0	0	1	0	0	0	0	0
1	0	1	0	0	0	0	0
0	1	1	0	0	0	0	0
1	1	1	0	0	0	0	0
0	0	0	1	0	0	0	0
1	0	0	1	0	0	0	0
0	1	0	1	0	0	0	0
1	1	0	1	0	0	0	0
0	0	1	1	0	0	0	0
1	0	1	1	0	0	0	0
0	1	1	1	0	0	0	0
1	1	1	1	0	0	0	0
0	0	0	0	1	0	0	0
1	0	0	0	1	0	0	0
0	1	0	0	1	0	0	0
1	1	0	0	1	0	0	0
0	0	1	0	1	0	0	0
1	0	1	0	1	0	0	0
0	1	1	0	1	0	0	0
1	1	1	0	1	0	0	0
0	0	0	1	1	0	0	0
1	0	0	1	1	0	0	0
0	1	0	1	1	0	0	0
1	1	0	1	1	0	0	0
0	0	1	1	1	0	0	0
1	0	1	1	1	0	0	0
0	1	1	1	1	0	0	0
1	1	1	1	1	0	0	0
0	0	0	0	0	1	0	0
1	0	0	0	0	1	0	0
0	1	0	0	0	1	0	0
1	1	0	0	0	1	0	0
0	0	1	0	0	1	0	0
1	0	1	0	0	1	0	0
0	1	1	0	0	1	0	0
1	1	1	0	0	1	0	0
0	0	0	1	0	1	0	0
1	0	0	1	0	1	0	0
0	1	0	1	0	1	0	0
1	1	0	1	0	1	0	0
0	0	1	1	0	1	0	0
1	0	1	1	0	1	0	0
0	1	1	1	0	1	0	0
1	1	1	1	0	1	0	0
0	0	0	0	1	1	0	0
1	0	0	0	1	1	0	0
0	1	0	0	1	1	0	0
1	1	0	0	1	1	0	0
0	0	1	0	1	1	0	0
1	0	1	0	1	1	0	0
0	1	1	0	1	1	0	0
1	1	1	0	1	1	0	0
0	0	0	1	1	1	0	0
1	0	0	1	1	1	0	0
0	1	0	1	1	1	0	0
1	1	0	1	1	1	0	0
0	0	1	1	1	1	0	0
1	0	1	1	1	1	0	0
0	1	1	1	1	1	0	0
1	1	1	1	1	1	0	0
0	0	0	0	0	0	1	0
1	0	0	0	0	0	1	0
0	1	0	0	0	0	1	0
1	1	0	0	0	0	1	0
0	0	1	0	0	0	1	0
1	0	1	0	0	0	1	0
0	1	1	0	0	0	1	0
1	1	1	0	0	0	1	0
0	0	0	1	0	0	1	0
1	0	0	1	0	0	1	0
0	1	0	1	0	0	1	0
1	1	0	1	0	0	1	0
0	0	1	1	0	0	1	1
1	0	1	1	0	0	1	0
0	1	1	1	0	0	1	1
1	1	1	1	0	0	1	0
0	0	0	0	1	0	1	0
1	0	0	0	1	0	1	0
0	1	0	0	1	0	1	0
1	1	0	0	1	0	1	0
0	0	1	0	1	0	1	0
1	0	1	0	1	0	1	0
0	1	1	0	1	0	1	0
1	1	1	0	1	0	1	0
0	0	0	1	1	0	1	0
1	0	0	1	1	0	1	0
0	1	0	1	1	0	1	0
1	1	0	1	1	0	1	0
0	0	1	1	1	0	1	0
1	0	1	1	1	0	1	0
0	1	1	1	1	0	1	0
1	1	1	1	1	0	1	0
0	0	0	0	0	1	1	0
1	0	0	0	0	1	1	0
0	1	0	0	0	1	1	0
1	1	0	0	0	1	1	0
0	0	1	0	0	1	1	0
1	0	1	0	0	1	1	0
0	1	1	0	0	1	1	0
1	1	1	0	0	1	1	0
0	0	0	1	0	1	1	0
1	0	0	1	0	1	1	0
0	1	0	1	0	1	1	0
1	1	0	1	0	1	1	0
0	0	1	1	0	1	1	1
1	0	1	1	0	1	1	0
0	1	1	1	0	1	1	0
1	1	1	1	0	1	1	0
0	0	0	0	1	1	1	0
1	0	0	0	1	1	1	0
0	1	0	0	1	1	1	0
1	1	0	0	1	1	1	0
0	0	1	0	1	1	1	0
1	0	1	0	1	1	1	0
0	1	1	0	1	1	1	0
1	1	1	0	1	1	1	0
0	0	0	1	1	1	1	0
1	0	0	1	1	1	1	0
0	1	0	1	1	1	1	0
1	1	0	1	1	1	1	0
0	0	1	1	1	1	1	0
1	0	1	1	1	1	1	0
0	1	1	1	1	1	1	0
1	1	1	1	1	1	1	0
