0
7
0001_STAT5_2	0028_STAT5	0027_STAT6	0052_TBET	0056_NFKB	0043_FOXP3	0050_NFAT
0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0
1	1	0	0	0	0	0	0
0	0	1	0	0	0	0	0
1	0	1	0	0	0	0	0
0	1	1	0	0	0	0	0
1	1	1	0	0	0	0	0
0	0	0	1	0	0	0	0
1	0	0	1	0	0	0	0
0	1	0	1	0	0	0	0
1	1	0	1	0	0	0	0
0	0	1	1	0	0	0	0
1	0	1	1	0	0	0	0
0	1	1	1	0	0	0	0
1	1	1	1	0	0	0	0
0	0	0	0	1	0	0	1
1	0	0	0	1	0	0	1
0	1	0	0	1	0	0	1
1	1	0	0	1	0	0	1
0	0	1	0	1	0	0	1
1	0	1	0	1	0	0	0
0	1	1	0	1	0	0	0
1	1	1	0	1	0	0	0
0	0	0	1	1	0	0	0
1	0	0	1	1	0	0	0
0	1	0	1	1	0	0	0
1	1	0	1	1	0	0	0
0	0	1	1	1	0	0	0
1	0	1	1	1	0	0	0
0	1	1	1	1	0	0	0
1	1	1	1	1	0	0	0
0	0	0	0	0	1	0	0
1	0	0	0	0	1	0	0
0	1	0	0	0	1	0	0
1	1	0	0	0	1	0	0
0	0	1	0	0	1	0	0
1	0	1	0	0	1	0	0
0	1	1	0	0	1	0	0
1	1	1	0	0	1	0	0
0	0	0	1	0	1	0	0
1	0	0	1	0	1	0	0
0	1	0	1	0	1	0	0
1	1	0	1	0	1	0	0
0	0	1	1	0	1	0	0
1	0	1	1	0	1	0	0
0	1	1	1	0	1	0	0
1	1	1	1	0	1	0	0
0	0	0	0	1	1	0	1
1	0	0	0	1	1	0	1
0	1	0	0	1	1	0	1
1	1	0	0	1	1	0	1
0	0	1	0	1	1	0	1
1	0	1	0	1	1	0	0
0	1	1	0	1	1	0	0
1	1	1	0	1	1	0	0
0	0	0	1	1	1	0	0
1	0	0	1	1	1	0	0
0	1	0	1	1	1	0	0
1	1	0	1	1	1	0	0
0	0	1	1	1	1	0	0
1	0	1	1	1	1	0	0
0	1	1	1	1	1	0	0
1	1	1	1	1	1	0	0
0	0	0	0	0	0	1	1
1	0	0	0	0	0	1	1
0	1	0	0	0	0	1	1
1	1	0	0	0	0	1	1
0	0	1	0	0	0	1	1
1	0	1	0	0	0	1	0
0	1	1	0	0	0	1	0
1	1	1	0	0	0	1	0
0	0	0	1	0	0	1	1
1	0	0	1	0	0	1	1
0	1	0	1	0	0	1	1
1	1	0	1	0	0	1	1
0	0	1	1	0	0	1	1
1	0	1	1	0	0	1	0
0	1	1	1	0	0	1	0
1	1	1	1	0	0	1	0
0	0	0	0	1	0	1	1
1	0	0	0	1	0	1	1
0	1	0	0	1	0	1	1
1	1	0	0	1	0	1	1
0	0	1	0	1	0	1	1
1	0	1	0	1	0	1	0
0	1	1	0	1	0	1	0
1	1	1	0	1	0	1	0
0	0	0	1	1	0	1	0
1	0	0	1	1	0	1	0
0	1	0	1	1	0	1	0
1	1	0	1	1	0	1	0
0	0	1	1	1	0	1	0
1	0	1	1	1	0	1	0
0	1	1	1	1	0	1	0
1	1	1	1	1	0	1	0
0	0	0	0	0	1	1	0
1	0	0	0	0	1	1	0
0	1	0	0	0	1	1	0
1	1	0	0	0	1	1	0
0	0	1	0	0	1	1	0
1	0	1	0	0	1	1	0
0	1	1	0	0	1	1	0
1	1	1	0	0	1	1	0
0	0	0	1	0	1	1	0
1	0	0	1	0	1	1	0
0	1	0	1	0	1	1	0
1	1	0	1	0	1	1	0
0	0	1	1	0	1	1	0
1	0	1	1	0	1	1	0
0	1	1	1	0	1	1	0
1	1	1	1	0	1	1	0
0	0	0	0	1	1	1	1
1	0	0	0	1	1	1	1
0	1	0	0	1	1	1	1
1	1	0	0	1	1	1	1
0	0	1	0	1	1	1	1
1	0	1	0	1	1	1	0
0	1	1	0	1	1	1	0
1	1	1	0	1	1	1	0
0	0	0	1	1	1	1	0
1	0	0	1	1	1	1	0
0	1	0	1	1	1	1	0
1	1	0	1	1	1	1	0
0	0	1	1	1	1	1	0
1	0	1	1	1	1	1	0
0	1	1	1	1	1	1	0
1	1	1	1	1	1	1	0
